
Conexiones activas

  Proto  Dirección local          Dirección remota        Estado           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1156
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       9368
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING       5452
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       16172
  TCP    0.0.0.0:8002           0.0.0.0:0              LISTENING       1856
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       92
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       924
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1956
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2912
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3848
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       4516
  TCP    0.0.0.0:49671          0.0.0.0:0              LISTENING       996
  TCP    0.0.0.0:65001          0.0.0.0:0              LISTENING       13900
  TCP    127.0.0.1:4767         0.0.0.0:0              LISTENING       5044
  TCP    127.0.0.1:4767         127.0.0.1:57242        ESTABLISHED     5044
  TCP    127.0.0.1:8002         0.0.0.0:0              LISTENING       21996
  TCP    127.0.0.1:9101         0.0.0.0:0              LISTENING       13900
  TCP    127.0.0.1:50742        127.0.0.1:65018        ESTABLISHED     15224
  TCP    127.0.0.1:50743        127.0.0.1:65018        ESTABLISHED     15224
  TCP    127.0.0.1:50803        127.0.0.1:65018        ESTABLISHED     15224
  TCP    127.0.0.1:50912        127.0.0.1:65018        TIME_WAIT       0
  TCP    127.0.0.1:50914        127.0.0.1:50915        TIME_WAIT       0
  TCP    127.0.0.1:50924        127.0.0.1:50925        TIME_WAIT       0
  TCP    127.0.0.1:50927        127.0.0.1:50928        TIME_WAIT       0
  TCP    127.0.0.1:50935        127.0.0.1:65018        TIME_WAIT       0
  TCP    127.0.0.1:50937        127.0.0.1:65018        ESTABLISHED     15224
  TCP    127.0.0.1:50939        127.0.0.1:50940        ESTABLISHED     8892
  TCP    127.0.0.1:50940        127.0.0.1:50939        ESTABLISHED     8892
  TCP    127.0.0.1:50944        127.0.0.1:50945        TIME_WAIT       0
  TCP    127.0.0.1:50947        127.0.0.1:65018        ESTABLISHED     15224
  TCP    127.0.0.1:50949        127.0.0.1:50950        ESTABLISHED     21996
  TCP    127.0.0.1:50950        127.0.0.1:50949        ESTABLISHED     21996
  TCP    127.0.0.1:50975        127.0.0.1:65018        ESTABLISHED     15224
  TCP    127.0.0.1:57242        127.0.0.1:4767         ESTABLISHED     9540
  TCP    127.0.0.1:64160        127.0.0.1:64161        ESTABLISHED     4992
  TCP    127.0.0.1:64161        127.0.0.1:64160        ESTABLISHED     4992
  TCP    127.0.0.1:64162        127.0.0.1:64163        ESTABLISHED     4992
  TCP    127.0.0.1:64163        127.0.0.1:64162        ESTABLISHED     4992
  TCP    127.0.0.1:64166        127.0.0.1:64167        ESTABLISHED     4992
  TCP    127.0.0.1:64167        127.0.0.1:64166        ESTABLISHED     4992
  TCP    127.0.0.1:65013        0.0.0.0:0              LISTENING       21544
  TCP    127.0.0.1:65018        0.0.0.0:0              LISTENING       21544
  TCP    127.0.0.1:65018        127.0.0.1:50742        ESTABLISHED     21544
  TCP    127.0.0.1:65018        127.0.0.1:50743        ESTABLISHED     21544
  TCP    127.0.0.1:65018        127.0.0.1:50803        ESTABLISHED     21544
  TCP    127.0.0.1:65018        127.0.0.1:50881        TIME_WAIT       0
  TCP    127.0.0.1:65018        127.0.0.1:50923        TIME_WAIT       0
  TCP    127.0.0.1:65018        127.0.0.1:50930        TIME_WAIT       0
  TCP    127.0.0.1:65018        127.0.0.1:50936        TIME_WAIT       0
  TCP    127.0.0.1:65018        127.0.0.1:50937        ESTABLISHED     21544
  TCP    127.0.0.1:65018        127.0.0.1:50943        TIME_WAIT       0
  TCP    127.0.0.1:65018        127.0.0.1:50947        ESTABLISHED     21544
  TCP    127.0.0.1:65018        127.0.0.1:50955        TIME_WAIT       0
  TCP    127.0.0.1:65018        127.0.0.1:50961        TIME_WAIT       0
  TCP    127.0.0.1:65018        127.0.0.1:50966        TIME_WAIT       0
  TCP    127.0.0.1:65018        127.0.0.1:50975        ESTABLISHED     21544
  TCP    127.0.0.1:65018        127.0.0.1:65032        ESTABLISHED     21544
  TCP    127.0.0.1:65018        127.0.0.1:65034        ESTABLISHED     21544
  TCP    127.0.0.1:65023        0.0.0.0:0              LISTENING       15224
  TCP    127.0.0.1:65023        127.0.0.1:65033        ESTABLISHED     15224
  TCP    127.0.0.1:65023        127.0.0.1:65039        ESTABLISHED     15224
  TCP    127.0.0.1:65024        0.0.0.0:0              LISTENING       15224
  TCP    127.0.0.1:65024        127.0.0.1:50917        TIME_WAIT       0
  TCP    127.0.0.1:65024        127.0.0.1:50918        TIME_WAIT       0
  TCP    127.0.0.1:65024        127.0.0.1:50948        TIME_WAIT       0
  TCP    127.0.0.1:65024        127.0.0.1:50952        TIME_WAIT       0
  TCP    127.0.0.1:65029        0.0.0.0:0              LISTENING       15224
  TCP    127.0.0.1:65029        127.0.0.1:65038        ESTABLISHED     15224
  TCP    127.0.0.1:65032        127.0.0.1:65018        ESTABLISHED     15224
  TCP    127.0.0.1:65033        127.0.0.1:65023        ESTABLISHED     21544
  TCP    127.0.0.1:65034        127.0.0.1:65018        ESTABLISHED     15224
  TCP    127.0.0.1:65038        127.0.0.1:65029        ESTABLISHED     21544
  TCP    127.0.0.1:65039        127.0.0.1:65023        ESTABLISHED     5176
  TCP    127.0.0.1:65476        127.0.0.1:65477        ESTABLISHED     4992
  TCP    127.0.0.1:65477        127.0.0.1:65476        ESTABLISHED     4992
  TCP    192.168.1.10:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.1.10:49176     52.97.28.146:443       ESTABLISHED     9556
  TCP    192.168.1.10:49412     104.208.203.90:443     ESTABLISHED     5256
  TCP    192.168.1.10:50505     34.160.122.198:443     TIME_WAIT       0
  TCP    192.168.1.10:50739     20.189.173.25:443      ESTABLISHED     5176
  TCP    192.168.1.10:50746     216.239.32.223:443     ESTABLISHED     15224
  TCP    192.168.1.10:50801     47.246.110.44:443      CLOSE_WAIT      15708
  TCP    192.168.1.10:50852     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50854     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50859     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50866     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50869     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50871     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50876     64.233.186.95:443      ESTABLISHED     15224
  TCP    192.168.1.10:50879     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50880     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50882     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50883     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50884     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50892     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50896     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50899     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50900     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50901     34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.10:50904     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50905     72.154.7.109:443       TIME_WAIT       0
  TCP    192.168.1.10:50906     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50907     23.215.173.196:443     ESTABLISHED     16172
  TCP    192.168.1.10:50908     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50909     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50911     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50913     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50916     142.251.0.95:443       ESTABLISHED     15224
  TCP    192.168.1.10:50919     34.54.84.110:443       TIME_WAIT       0
